2022-04-24 14:08:43 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:43 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:105: 	"_query_b"
2022-04-24 14:08:43 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"c"
2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004l\rContinuing.\r"
2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"Breakpoint 1, \27[33mmain\27[m (\27[36margc\27[m=1, \27[36margv\27[m=0x7fffffffe438) at \27[32m/home/louise/Code/exercises/18. emprunts de livres/main.c\27[m:58\r"
2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\26\26/home/louise/Code/exercises/18. emprunts de livres/main.c:58:2602:beg:0x555555555820\r"
2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004h\27[?2004l\r\27[?2004h(gdb) \26\26\26"
2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:45 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:80: 	"_paused_continue"
2022-04-24 14:08:45 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: running"
2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: running"
2022-04-24 14:08:45 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:105: 	"_query_b"
2022-04-24 14:08:45 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:45 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:90: 	"_paused_jump /home/louise/Code/exercises/18. emprunts de livres/main.c:58"
2022-04-24 14:08:45 [INFO] ...e/.local/share/nvim/plugged/nvim-gdb/lua/nvimgdb/win.lua:166: 	"jump(/home/louise/Code/exercises/18. emprunts de livres/main.c:58)"
2022-04-24 14:08:45 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
